Items Vigentes - Automoviles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datos Generales de la Póliza,,,,,,Asegurado,,,Detalle del Vehículo,,,,,,,,,,,,,,,Intermediarios,,,,Accesorios y Coberturas,
Cia,Poliza,IDPoliza,Estado Poliza,Vigencia Desde,Vigencia Hasta,Asegurado,Conductor Asignado,Nro Documento,Patente,Marca,Modelo,Año,0 KM,Motor,Chasis,CodReferencia,Procedencia,Combustible,Tipo Uso,Rastreo Satelital,Cobertura,Cobertura Det,Suma Asgurada,Productor,Agente,SubAgente,Ejecutivo,Accesorios,Cob. Adicionales
FEDERACION PATRONAL S.A.,20385897,36087968,VIGENTE,23/07/2015,23/07/2016, NANDOR SUCESION ERICH,,5418039,EDD108,FORD, F-4000,2004,NO,30658836,9BFLF47G93B088468,,,,Comercial,,A4,,0,HansenLuis Julian,,,,,
FEDERACION PATRONAL S.A.,20386230,36087969,VIGENTE,01/08/2015,01/08/2016, ZAMORA SERGIO,,17290268,MDR381,RENAULT, CLIO MIO 1.2 3 P. EXPRESSION PACK 1,2013,NO,D4FG728Q132222,8A1CB2U01DL431288,,,,Particular,,TD3,,"118,800",HerrerosAriel,,,,,
FEDERACION PATRONAL S.A.,20386246,36087970,VIGENTE,01/08/2015,01/08/2016, SANDRA EDITH GIUSIA,,20045353,IRB213,CHEVROLET, CORSA 2 1.8 CD 5 PTAS. EASYTRONIC,2010,NO,U10004349,9B6XH68U0AB201780,,,,Particular,,TD3,,"103,400",HerrerosAriel,,,,,
FEDERACION PATRONAL S.A.,20386247,36087971,VIGENTE,01/08/2015,01/08/2016, FLAVIA SILVINA FREIJE,,21624805,ICV219,FORD, KA 1.0 FLY VIRAL L/08,2009,NO,CBRBA114973,9BFZK53B7AB114973,,,,Particular,,CF,,"85,800",HerrerosAriel,,,,,
FEDERACION PATRONAL S.A.,20391473,36087972,VIGENTE,24/07/2015,24/07/2016, PABLO ADRIAN NAVONE,,24132207,KTF146,FIAT, SIENA 1.6 ESSENCE,2012,NO,178F40552184210,8AP17269HC2252556,,,,Particular,,TD3,,"134,200",HansenLuis Julian,,,,,
FEDERACION PATRONAL S.A.,20391580,36087973,VIGENTE,24/07/2015,24/07/2016, LUIS OSCAR STERKEL,,31074057,IIL244,CHEVROLET, SPARK 1.0 LS,2009,NO,B10051146713KCZ,KL1MJ610X9C580585,,,,Particular,,CF,,"86,900",HansenLuis Julian,,,,,
FEDERACION PATRONAL S.A.,20393634,36087974,VIGENTE,25/07/2015,25/07/2016, SERGIO FABIAN PEZZUTTI,,17185639,IJU513,FORD, RANGER XL 3.0 TDI D/C 4X2,2009,NO,C34255805,8AFDR12P48J169251,,,,Particular,,A4,,0,HansenLuis Julian,,,,,
FEDERACION PATRONAL S.A.,20395864,36087975,VIGENTE,31/07/2015,31/07/2016, SERGIO FERNANDO AGUIRRE,,22159105,JWM886,RENAULT, KANGOO 2 1.5 D EX. 1 PLC CONFORT AA,2011,NO,K9KA700D181805,8A1FC715B6727017,,,,Comercial,,A4,,0,IraizozJose Alberto,,,,,
FEDERACION PATRONAL S.A.,20395922,36087976,VIGENTE,31/07/2015,31/07/2016, CLAUDIA ELIZABET MANDOLESI,,26571586,AEV906,TOYOTA, 4 RUNNER SL D,1995,NO,LN1350004602,3L3646979,,,,Particular,,A4,,0,IraizozJose Alberto,,,,,
FEDERACION PATRONAL S.A.,20396761,36087977,VIGENTE,01/08/2015,01/08/2016,,,,MBU818,CHERY,TRAILER ,2010,NO,,MBU818,,,,Particular,,A4,,0,IraizozJose Alberto,,,,,
FEDERACION PATRONAL S.A.,20400750,36087978,VIGENTE,31/07/2015,31/07/2016, FERNANDO JORGE RABBIONE,,13524022,GEK034,TOYOTA, HILUX SW4 TD SRV,2007,NO,1KD7275980,8AJYZ59G873014645,,,,Particular,,CF,,"346,500",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20400769,36087979,VIGENTE,01/08/2015,01/08/2016, CODIMAT S.A.,,0,JLR897,VOLKSWAGEN,VW VENTO 2.5 R5 170 HP LUXURY TIP,2010,NO,CCC093485,3WWRG61X9AX170522,,,,Particular,,CF,,"221,100",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20400786,36087980,VIGENTE,01/08/2015,01/08/2016,ADRIAN NESTOR OLIVIERI,,28946559,SBL105,RENAULT, 19 RT FRANCES,1994,NO,I016752,VF1L53306511160867,,,,Particular,,B1,,"47,584",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20400834,36087981,VIGENTE,03/08/2015,03/08/2016, CODIMAT S.A.,,0,KGP362,VOLKSWAGEN,VW SURAN 1.6 TRENDLINE L/10,2011,NO,CF2 252709,8AWPB45Z8CA504312,,,,Particular,,CF,,"145,200",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20400857,36087982,VIGENTE,03/08/2015,03/08/2016,MONICA LILIANA SIGAL,,13105187,KXR144,CHEVROLET, MERIVA GL 1.8 AB PLUS,2012,NO,U300018825,9BGXF75V0CC161443,,,,Particular,,CF,,"128,000",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20400909,36087983,VIGENTE,03/08/2015,03/08/2016, ANABEL COMPAGNONI,,24095501,KOI348,HONDA, FIT 1.4 LXL 5 PTAS L/09,2011,NO,L13Z12981341,93HGE6758CZ501332,,,,Particular,,CF,,"168,300",IraizozJose Alberto,,,,,
FEDERACION PATRONAL S.A.,20401068,36087984,VIGENTE,31/07/2015,31/07/2016, MARIA ESTER BENASAYAG,,4213919,CVP863,RENAULT, MEGANE 2 RT 5P. ABS,1999,NO,K7MA702DG52114,8A1BA0F25YL054494,,,,Particular,,B1,,"69,300",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20401069,36087985,VIGENTE,31/07/2015,31/07/2016,MONICA PATRICIA GELOS,,21449769,KAQ057,HONDA, FIT 1.4 LXL 5 PTAS L/09,2011,NO,L13Z11504258,93HGE6750BZ504232,,,,Particular,,CF,,"165,000",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20401073,36087986,VIGENTE,01/08/2015,01/08/2016,EVANGELINA PIRCHI,,28664442,FPO347,FIAT, FIORINO FURGON FIRE,2006,NO,178E801170078777,9BD25521A68777388,,,,Particular,,A4,,0,OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20401076,36087987,VIGENTE,01/08/2015,01/08/2016,CARLOS EDUARDO BOISMENE,,5476849,FAC255,RENAULT, MEGANE 2 RN 4P.,2005,NO,8A1LA1D355L635406,F4RC746C027010,,,,Particular,,B1,,"78,100",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20401078,36087988,VIGENTE,02/08/2015,02/08/2016,MARTIN LAMON,,22049875,IDK448,CHEVROLET, ZAFIRA II GL 2.0,2009,NO,R10016867,9BGTT75B09C128734,,,,Particular,,CF,,"129,000",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20401084,36087989,VIGENTE,03/08/2015,03/08/2016,SILVIA SALVUCCI,,11622981,DOT421,MITSUBISHI, MONTERO IO 1.6 3 PTAS.,2000,NO,4G18YR1795,JMYMNH65WXY000835,,,,Particular,,CF,,"128,000",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20401085,36087990,VIGENTE,03/08/2015,03/08/2016, HERALDO LOPEZ,,12740600,GKG524,VOLKSWAGEN,VW CADDY 1.9 SD A/A,2007,NO,1Y933809,8AWZZZ9EZ7A736217,,,,Particular,,A4,,0,IraizozJose Alberto,,,,,
FEDERACION PATRONAL S.A.,20401099,36087991,VIGENTE,04/08/2015,04/08/2016,ABEL ROBERTO SANTILLAN,,,UXT314,FORD, F-100 4  CIL,1982,NO,PA4178893,KA8LBC09796,,,,Particular,,A4,,0,OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20401100,36087992,VIGENTE,04/08/2015,04/08/2016, CLAUDIA EDITH FERNANDEZ,,16813967,JVD569,CHEVROLET, AGILE LT 1.4 5 PTAS.,2011,NO, U65022237,8AGCB4850BR218677,,,,Particular,,CF,,"124,300",IraizozJose Alberto,,,,,
FEDERACION PATRONAL S.A.,20401109,36087993,VIGENTE,03/08/2015,03/08/2016, HERNAN GUSTAVO CATALDO,,14198748,JMK029,CHERY,TRAILER ,2011,NO,,101029,,,,Particular,,A4,,0,IraizozJose Alberto,,,,,
FEDERACION PATRONAL S.A.,20401112,36087994,VIGENTE,03/08/2015,03/08/2016, NILDA ASUNCION BIANCHINI,,4650588,KKH685,BERTONE,SMART FORTWO CABRIO PASSION,2011,NO,3B21CN4224,WMEFK3CA6BK448354,,,,Particular,,CF,,"206,800",IraizozJose Alberto,,,,,
FEDERACION PATRONAL S.A.,20401132,36087995,VIGENTE,31/07/2015,31/07/2016,FERNANDO OSCAR MARTINEZ,,25215950,IDS375,RENAULT, SANDERO STEPWAY 1.6 CONFORT,2009,NO,K4MA690Q034352,93YBSR2PKAJ290912,,,,Particular,,TD3,,"128,000",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20401185,36087996,VIGENTE,03/08/2015,03/08/2016,VERDE FRANCISCO JOSE LO,,93645183,ENZ767,CHEVROLET, CORSA GL 1.6 4 PTAS (CLASSIC),2004,NO,7H5021015,8AGSB19N0SR106591,,,,Particular,,CF,,"79,061",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20401188,36087997,VIGENTE,03/08/2015,03/08/2016,MARIA LAURA BAMBILL,,16206281,DFX507,PEUGEOT, 206 XR 1.6 5 PTAS.,2000,NO,10FX1T0750514,8AD2ANFZWYW021963,,,,Particular,,B1,,"67,100",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20401190,36087998,VIGENTE,03/08/2015,03/08/2016,JORGE G. ACUÑA,,14265608,MGE133,TOYOTA, HILUX L/12 3.0 DC 4X2 TDI SRV,2013,NO,1KD-A035504,8AJEZ39G7D254452,,,,Particular,,B1,,"385,000",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20401198,36087999,VIGENTE,04/08/2015,04/08/2016,NORA HEBE PASTRIAN,,10847274,KWQ264,NISSAN, TIIDA 1.8 5 PTAS. VISIA,2012,NO,MR18786186H,3N1BC1CAXCK194871,,,,Particular,,A4,,0,OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20401199,36088000,VIGENTE,04/08/2015,04/08/2016,DIEGO MANA,,27771379,JMA260,HONDA, FIT 1.4 LX 5 PTAS. L/09,2011,NO,L13Z11501692,93HGE6740BZ501708,,,,Particular,,TD3,,"175,450",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20401204,36088001,VIGENTE,04/08/2015,04/08/2016, PACOLU SOCIEDAD DE RESPONSABIL,,0,KSR278,VOLKSWAGEN,VW GOL 1.4 5 P POWER,2011,NO,CNB025822,9BWCF05W6CP068068,,,,Particular,,A4,,0,OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,20401671,36088002,VIGENTE,04/08/2015,04/08/2016, GUSTAVO ALEJANDRO URRUTIA,,17429337,DNJ282,CHEVROLET, GRAND VITARA 2.0 5P.,2000,NO,J20A149914,JSAFTL52VY4101026,,,,Particular,,CF,,"129,800",IraizozJose Alberto,,,,,
FEDERACION PATRONAL S.A.,20402517,36088003,VIGENTE,02/08/2015,02/08/2016,OSVALDO FABIAN LACOUR,,17280397,MBU011,PEUGEOT, 308 1.6 HDI ALLURE,2013,NO,10JBDZ0007805,8AD4C9HGCDG059221,,,,Particular,,CF,,"234,300",HerrerosAriel,,,,,
FEDERACION PATRONAL S.A.,20403115,36088004,VIGENTE,03/08/2015,03/08/2016, GIMENEZ SEBASTIAN,,28526531,AOB211,AGRALE,DEUTZ DYNAMIC C/S CH/C,1996,NO,5L411602,54401831,,,,Comercial,,A4,,0,HerrerosAriel,,,,,
FEDERACION PATRONAL S.A.,20403916,36088005,VIGENTE,01/08/2015,01/08/2016, LOGISTICA NE S.A.,,0,OCX004,MAESTRO,IVECO DAILY 55C 16 FURGON 12 (PICK UP),2014,NO,7209262,93ZK53B01E8343441,,,,Particular,,CF,,"518,000",OrtigozaBeatriz,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3906075,36116898,VIGENTE,16/07/2015,16/07/2016,MARCELA ALEJANDRA ZITO,,17280200,NUS179,FORD,FOCUS L/14 1.6 4 P S,2014,NO,PNDAEJ214330,8AFNZZFFCEJ214330,18604,Nacional,Nafta,Particular,NO,DF23,Todo Riesgo con Deducible Fijo de $ 5000.-,"209,000",HBO Broker,URBINATIFABIAN MARCELO,,,, Todo Riesgo con Deducible Fijo de $ 5000.-: $0.00 Tasa: 0.000
ROYAL SUNALLIANCE SEG. ARG. SA,3906793,36116899,VIGENTE,04/07/2015,04/07/2016,EMILIO ALBERTO LOPEZ,,11113658,CSX393,MERCEDES BENZ,A 160 CLASSIC,1999,NO,16696030126843,9BMMF33E2XA000231,28220,Nacional,Nafta,Particular,,DF18,Todo Riesgo con Deducible Fijo de $ 1000.-,"74,000",HerrerosAriel,,,,, Todo Riesgo con Deducible Fijo de $ 1000.-: $0.00 Tasa: 0.000
ROYAL SUNALLIANCE SEG. ARG. SA,3855775,36121949,VIGENTE,19/06/2015,19/06/2016,EMILIANO ROQUE DE SALVO,,32450892,GZB057,CHEVROLET,ASTRA II GLS 2.0 4 P,2008,NO,2S0040109,9BGTT69B07B253527,12240,Nacional,Nafta,,,,,"97,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3855841,36121950,VIGENTE,19/06/2015,19/06/2016,JUAN CRUZ MONTERO,,32253722,GPM612,PEUGEOT,206 1.9 5 P D PREMIUM L/06,2007,NO,10DXDQ0032265,8AD2AWJYU8G012667,32533,Nacional,Diesel,,,,,"84,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3859441,36121957,VIGENTE,21/06/2015,21/06/2016,ANA INES LEBED,,10371839,HRF703,CHEVROLET,CORSA 1.6 4 P GL     (CLASSIC),2008,NO,5785147661,BAGS819N09RLLL054,12047,Nacional,Nafta,,,,,"67,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3860549,36121958,VIGENTE,19/06/2015,19/06/2016, LUPI JOSE,,16295235,FVI511,MERCEDES BENZ,ML 350        L/06,2006,NO,27296730405533,WDCBB86E77A157124,28383,Importado,Nafta,,,,,"365,000",HerrerosAriel,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3862572,36121961,VIGENTE,02/07/2015,02/07/2016, JOSE LEANDRO BONETTI,,5509502,BEF350,CHEVROLET,PICK-UP LUV D/CAB 4X4 2.3,1996,NO,470958,86GTFS6SHTA027088,12022,Importado,Nafta,,,,,"75,000",HansenLuis Julian,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3862572,36121961,VIGENTE,02/07/2015,02/07/2016, JOSE LEANDRO BONETTI,,5509502,BEF350,SIN MARCA,SIN MARCA TRAILER,2013,NO,,FABRICACION CASERA,,,,,,,,"74,000",HansenLuis Julian,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3862580,36121962,VIGENTE,06/06/2015,06/06/2016," DI NARDO ANGEL,SILVIA,ALEJANDRA SH",,,VEY975,MERCEDES BENZ C,MERCEDES BENZ C 608 D,1982,NO,34391010078485,308302500005583,,,,,,,,0,HansenLuis Julian,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3862582,36121963,VIGENTE,03/06/2015,03/06/2016, FABIAN SCHULZ,,18041809,HRX741,VOLKSWAGEN,VENTO 2.5 170 HP ADVANCE,2009,NO,CCC035415,3WH861K79M010128,46475,Nacional,Nafta,,,,,"172,000",HansenLuis Julian,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3870432,36121967,VIGENTE,17/06/2015,17/06/2016, SANCHEZ ALMUDENA RUIZ,,94188118,JOD788,CHEVROLET,AGILE 1.4 LT,2011,NO,U65017017,8AGCB4850BR182662,12361,Nacional,Nafta,,,,,"113,000",HerrerosAriel,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3871274,36121968,VIGENTE,03/07/2015,03/07/2016,WALTER RAUL SEGURA,,18011893,ARM087,PEUGEOT,405 1.9 GLD,1996,NO,10CU7E4010090,VF34BD9B271393662,32042,Nacional,Diesel,,,,,"40,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3871573,36121969,VIGENTE,03/07/2015,03/07/2016,ALICIA MASSANO,,11831634,KAN652,CITROEN,C 4 2.0 I  5 P EXCLUSIVE,2011,NO,10TW020070049,8BCLCRFJKBG542215,11191,Nacional,Nafta,,,,,"158,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3871573,36121969,VIGENTE,03/07/2015,03/07/2016,ALICIA MASSANO,,11831634,PEC878,CITROEN,C 4 LOUNGE 1.6 THP TENDANCE NAV AT,2015,NO,10FJBZZ2192413,8BCND5FMJGG506606,11260,Nacional,Nafta,,,,,"285,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3878470,36121974,VIGENTE,09/06/2015,09/06/2016, JOSE ALBERTO IRAIZOZ,,16681345,TJT759,RENAULT,R 21 GTX,1992,NO,RR00092,8A1L489ZZNS0028J,,,,,,,,"32,000",IraizozJose Alberto,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3882579,36121977,VIGENTE,11/07/2015,11/07/2016,EMILIANA DAUPHIN,,30044800,JED258,PEUGEOT,307 1.6 5 P. XS L/N,2010,NO,10DBUD0029761,8AD3CN6BKBG021616,32457,Nacional,Nafta,,,,,"124,000",HansenLuis Julian,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3884096,36121979,VIGENTE,14/07/2015,14/07/2016,ALBERTO SANTI,,20045622,HGF460,VOLKSWAGEN,GOL 1.6  3 P POWER LN,2008,NO,UNF474533,9BWCB05W68T22743,46371,Nacional,Nafta,,,,,"70,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3884350,36121980,VIGENTE,18/07/2015,18/07/2016,MARIA JOSE MARCOLINI,,24829886,EHY546,CITROEN,XSARA SX 2.0 HDI EXCLUSIVE(L/N),2004,NO,10DYNS3020108,VF7N1RHYH3J005966,11096,Importado,Diesel,,,,,"64,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3885173,36121981,VIGENTE,30/06/2015,30/06/2016,HECTOR LEONARDO PICOREL,,25447974,HHD449,VOLKSWAGEN,SAVEIRO 1.9 SD DH,2008,NO,BGG034667,9BWED05W08P131526,46169,Nacional,Diesel,,,,,"78,000",HBO Broker,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3889039,36121982,VIGENTE,17/07/2015,17/07/2016, BALBUENA S.A.,,,AOC794,NISSAN,PICK-UP 2.7 LX 4X2 D/CAB D AA,1996,NO,TD27434832,5LBUD21001127,30049,Importado,Diesel,,,,,"84,000",HansenLuis Julian,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3893949,36121987,VIGENTE,02/07/2015,02/07/2016,MAXIMILIANO LUIS BOUBBE,,28296136,COS728,ROVER-LAND ROV.,216 SLI,1999,NO,16K4FL33671220,SARRFYWZSWD292468,37002,Importado,Nafta,,,,,"40,000",HerrerosAriel,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3900246,36121988,VIGENTE,26/07/2015,26/07/2016,FELICIANO SALVADOR CORDOBA,,28959862,RLW631,FORD,F-100 LUJO D,1980,NO,PA4153974,KA1JYA14779,,,,,,,,0,HansenLuis Julian,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3901010,36121989,VIGENTE,28/07/2015,28/07/2016,,,,EWA001,CHEVROLET,ASTRA II GL 2.0 5 P,2005,NO,2S0022078,9BGTT48B05B206363,12236,Nacional,Nafta,,,,,"76,000",HansenLuis Julian,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3901977,36121991,VIGENTE,13/07/2015,13/07/2016,JULIO CESAR HAURE,,11150729,FRY709,CHEVROLET,PICK-UP S10 2.8 TD 4X2 DC,2006,NO,M1T262895,9BG138AC06C426331,12190,Nacional,Diesel,,,,,"136,000",HansenLuis Julian,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3902901,36121992,VIGENTE,29/07/2015,29/07/2016,JOSE ROBERTO ALVADO,,5500937,HNG389,RENAULT,SCENIC 2 1.6 LUXE,2008,NO,K4MJ706Q111976,93YJA1V358J020694,36512,Nacional,Nafta,,,,,"103,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3903206,36121993,VIGENTE,08/08/2015,08/08/2016,NESTOR LIONEL RAMOS,,54615907,UXT303,FORD,FALCON LUJO,1980,NO,YBAA11651,0000,,,,,,,,"25,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3903208,36121994,VIGENTE,31/07/2015,31/07/2016,ELIDA NOEMI GIACOMOZZI,,5110025,UBX129,RENAULT,RENAULT R 4 S,1982,NO,5142638,P987456,,,,,,,,"25,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3903214,36121995,VIGENTE,08/08/2015,08/08/2016,GABRIEL ALBERTO MARTIN,,54341866,TNV102,FORD,SIERRA GL,1987,NO,HASZ22090,00000,,,,,,,,"28,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3903216,36121996,VIGENTE,08/08/2015,08/08/2016,ADOLFO ARMANDO FERNANDEZ,,7546988,UOV808,CHEVROLET,CHEVROLET PICK UP CS,1983,NO,4524706,0000,,,,,,,,0,IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3903228,36121997,VIGENTE,22/07/2015,22/07/2016,MARIA ALEJANDRA MONACHESI,,17935125,AAS602,RENAULT,R 19 RN  5 P (RNI),1995,NO,5966874,00000,,,,,,,,"38,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3904458,36121998,VIGENTE,30/07/2015,30/07/2016,MIGUEL ANGEL GARCIA,,26504180,DPD731,CHEVROLET,CORSA 1.6 4 P WIND,2000,NO,QD5012526,8AGSC19N01R116135,12172,Nacional,Nafta,,,,,"51,000",HansenLuis Julian,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3906791,36122001,VIGENTE,01/07/2015,01/07/2016, PABLO CESAR GIBELLI,,21536564,HZO689,CITROEN,BERLINGO FURGON 1.9 D FULL,2009,NO,10DXBE0057912,8BCMBWJZF9G531691,11133,Nacional,Diesel,,,,,"93,000",HerrerosAriel,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3906794,36122002,VIGENTE,09/07/2015,09/07/2016, PABLO CESAR GIBELLI,,21536564,IOA812,RENAULT,SYMBOL 1.6 8V PACK,2010,NO,K7MF730Q002090,8A1LBM715AL418396,36580,Nacional,Nafta,,,,,"88,000",HerrerosAriel,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3911267,36122005,VIGENTE,22/07/2015,22/07/2016,MARIA ALEJANDRA MONACHESI,,17935125,AAS602,RENAULT,R 19 RN  4 P (RNI),1995,NO,5966874,0000,,,,,,,,"38,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3911722,36122007,VIGENTE,20/07/2015,20/07/2016,JUAN MANUEL ROCHA,,29300091,TSA103,VOLKSWAGEN,GACEL GS 1.8 FULL,1991,NO,UD906110,8AVZZZ30ZKJ203699,,,,,,,,0,HBO Broker,ManzanalMauro,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3911872,36122008,VIGENTE,04/08/2015,04/08/2016,MARCELA UZAL,,17279730,KDZ622,CHEVROLET,AGILE 1.4 LTZ,2011,NO,U65030233,8AGCN4850BR275653,12362,Nacional,Nafta,,,,,"118,000",HansenLuis Julian,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3912278,36122009,VIGENTE,05/08/2015,05/08/2016,VIRGINIA OLGA DIORIO,,26794864,FZD858,CHEVROLET,CORSA 1.6 4 P GL AA SUPER(CLASSIC),2007,NO,7H5078369,8AGSB19NO7R115614,12052,Nacional,Nafta,,,,,"67,000",OrtigozaBeatriz,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3912380,36122010,VIGENTE,05/08/2015,05/08/2016,LILIANA HEGUY,,11932283,FUL090,CHEVROLET,ASTRA II GSI 2.4 5 P,2006,NO,X20000432,9BGTF48L07B104146,12266,Nacional,Nafta,,,,,"100,000",HBO Broker,RamundoMaria Salome,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3913305,36122013,VIGENTE,08/08/2015,08/08/2016,ADOLFO ARMANDO FERNANDEZ,,7546988,UOV808,CHEVROLET,CHEVROLET PICK UP CS,1983,NO,4524706,,,,,,,,,0,IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3913325,36122014,VIGENTE,08/08/2015,08/08/2016,GABRIEL ALBERTO MARTIN,,54341866,TNV102,FORD,SIERRA GL,1987,NO,HASZ22090,,,,,,,,,"28,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3913355,36122015,VIGENTE,31/07/2015,31/07/2016,ELIDA NOEMI GIACOMOZZI,,5110025,UBX129,RENAULT,RENAULT R 4 S,1982,NO,5142638,P987456,,,,,,,,"25,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3913365,36122016,VIGENTE,08/08/2015,08/08/2016,NESTOR LIONEL RAMOS,,54615907,UXT303,FORD,FALCON LUJO RURAL,1980,NO,YBAA11651,,,,,,,,,"25,000",IaquinandiJose Francisco,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3915234,36122018,VIGENTE,21/07/2015,21/07/2016,SANDRA MOLINA ,,17838093,JHO611,CHEVROLET,CLASSIC 1.4 3 P LT,2010,NO,T85059441,8AGSS19Y0BR158889,12372,Nacional,Nafta,,,,,"85,000",HBO Broker,URBINATIFABIAN MARCELO,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3915283,36122019,VIGENTE,14/07/2015,14/07/2016,NESTOR OSCAR PAZ,,7650902,FLR931,SUZUKI,FUN 1.0 3 P,2006,NO,4Z0001846,9BGRS08Z06G177005,43056,Nacional,Nafta,,,,,"63,000",OrtigozaBeatriz,,,,,
SANCOR COOPERATIVA DE SEG LTDA,6009563,36135477,VIGENTE,02/08/2015,02/08/2016, ROBERTO GARMENDIA,,5482544,KFX,RENAULT,SANDERO STEP WAY 1.6 DOMINIQUE,2011,NO,,,0,,,Particular,NO,9, Todo Riesgo c/Deducible $ 3.000 (Autos y Pick Ups),"107,000",OrtigozaBeatriz,,,,, Todo Riesgo c/Deducible $ 3.000 (Autos y Pick Ups): $0.00 Tasa: 0.000
ROYAL SUNALLIANCE SEG. ARG. SA,3890927,36135487,VIGENTE,01/07/2015,01/07/2016,ADELINA BEATRIZ ROSERO,,11951540,CCS083,GENERICA,MALDONADO SEMI-REMOLQUE,1998,NO,,50083638,,,,,,A,Resp.Civil unicamente hasta $3.000.000,"363,000",HBO Broker,SIERRAMARTIN,,,, Resp.Civil unicamente hasta $3.000.000: $0.00 Tasa: 0.000
